City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,eyl,7.9803,49.8164,26.03,74,86,4.82,SO,1710377007
122,nar'yan-mar,67.6713,53.087,-11.05,86,93,7.6,RU,1710377007
123,bengkulu,-3.8004,102.2655,25.55,84,100,2.47,ID,1710376992
124,nadym,65.5333,72.5167,-20.23,93,100,5.37,RU,1710376818
125,grand falls-windsor,48.9332,-55.6649,0.28,94,100,2.68,CA,1710377008
126,ushuaia,-54.8,-68.3,4.81,87,75,2.06,AR,1710376877
127,polyarnyy,69.1989,33.4478,-10.43,93,85,4.86,RU,1710377009
128,ingraj bazar,25.0,88.15,22.66,35,0,0.59,IN,1710377009
129,kingston,17.997,-76.7936,28.53,77,40,7.72,JM,1710376813
130,kapa'a,22.0752,-159.319,24.5,82,100,2.06,US,1710377010
131,pemba,-12.974,40.5178,26.39,94,40,2.57,MZ,1710377010
132,tomatlan,19.9333,-105.25,24.05,61,63,1.87,MX,1710377010
133,aasiaat,68.7098,-52.8699,-19.67,100,81,1.46,GL,1710377011
134,vernon,50.2581,-119.2691,12.2,53,94,1.79,CA,1710377011
135,isla del bosque,22.7333,-105.85,22.63,58,7,2.14,MX,1710377011
136,yemetsk,63.4721,41.7941,-6.08,98,100,1.72,RU,1710377012
137,north bend,43.4065,-124.2243,14.58,66,0,5.66,US,1710377012
138,puerto armuelles,8.2833,-82.8667,30.09,59,99,0.45,PA,1710377012
139,minas de marcona,-15.2119,-75.1103,18.68,78,61,5.9,PE,1710376968
140,hawaiian paradise park,19.5933,-154.9731,26.13,85,100,5.66,US,1710377013
141,kuqa,41.7278,82.9364,7.72,29,100,3.71,CN,1710377013
142,ebon,4.582,168.6964,28.05,82,60,10.02,MH,1710377013
143,la passe,45.5549,-0.8967,9.13,89,38,3.59,FR,1710377014
144,cabo san lucas,22.8909,-109.9124,28.17,34,20,2.57,MX,1710376466
145,paphos,34.7667,32.4167,14.88,88,40,3.09,CY,1710377014
146,chokwe,-24.5333,32.9833,20.9,94,6,1.53,MZ,1710377014
147,carutapera,-1.195,-46.02,25.6,95,100,2.51,BR,1710377015
148,eureka,40.8021,-124.1637,13.29,74,6,5.36,US,1710377015
149,gebeit,21.0667,36.3167,24.26,57,4,1.65,SD,1710377015
150,tura,25.5198,90.2201,20.36,37,6,1.73,IN,1710377015
151,ormara,25.2088,64.6357,20.55,28,0,7.31,PK,1710377015
152,anadyr,64.75,177.4833,-12.72,72,75,2.0,RU,1710376989
153,port augusta,-32.5,137.7667,30.78,31,100,3.88,AU,1710377016
154,tazovsky,67.4667,78.7,-22.75,90,89,5.64,RU,1710377016
155,ust-tsilma,65.441,52.1498,-19.1,100,98,1.79,RU,1710377017
156,puerto ayora,-0.7393,-90.3518,27.53,93,100,0.93,EC,1710377017
157,augusto correa,-1.0217,-46.635,24.83,97,100,1.35,BR,1710377018
158,taco pozo,-25.6167,-63.2833,35.1,36,6,4.3,AR,1710377018
159,keflavik,64.0049,-22.5624,2.24,80,0,9.26,IS,1710377019
160,margate,51.3813,1.3862,10.94,84,100,3.58,GB,1710376875
161,selfoss,63.9331,-20.9971,1.14,65,29,6.97,IS,1710377019
162,bride,54.3826,-4.3892,7.74,92,100,1.91,IM,1710377019
163,faaa,-17.55,-149.6,30.98,74,0,5.66,PF,1710377020
164,carnarvon,-24.8667,113.6333,28.65,63,72,4.76,AU,1710377020
165,vorgashor,67.5833,63.95,-15.58,93,100,4.79,RU,1710377020
166,shalkar,47.8288,59.6258,-4.05,77,100,3.62,KZ,1710377020
167,dubrovnik,42.6481,18.0922,12.8,50,0,9.26,HR,1710376985
168,saldanha,-33.0117,17.9442,16.03,80,7,7.65,ZA,1710377021
169,milazzo,38.2212,15.2383,12.54,83,1,1.34,IT,1710377021
170,labytnangi,66.6572,66.4183,-15.65,86,90,3.91,RU,1710377021
171,amga,60.8953,131.9608,-13.45,94,98,0.54,RU,1710377021
172,nauen,52.607,12.8737,10.65,96,100,2.96,DE,1710377022
173,prado,-17.3411,-39.2208,25.29,88,1,2.32,BR,1710377022
174,usinsk,65.9939,57.5281,-13.85,91,97,6.71,RU,1710377022
175,partur,19.6,76.2167,22.65,27,0,2.89,IN,1710377022
176,bojnurd,37.4747,57.329,-1.03,80,0,0.0,IR,1710377023
177,satkhira,22.7167,89.1,24.86,83,0,1.79,BD,1710377023
178,xiaoshi,41.2971,124.1209,9.48,27,63,2.58,CN,1710377023
179,waddan,29.1614,16.139,13.47,57,94,5.41,LY,1710377023
180,qingnian,36.8456,115.7117,13.02,48,0,2.9,CN,1710377023
181,sinabang,2.4803,96.3801,27.24,76,4,0.79,ID,1710377024
182,arraial do cabo,-22.9661,-42.0278,23.98,83,0,1.03,BR,1710376779
183,iskateley,67.6803,53.1512,-11.1,86,95,7.6,RU,1710376769
184,avarua,-21.2078,-159.775,28.03,89,100,10.8,CK,1710376822
185,menongue,-14.6585,17.691,17.64,87,36,1.74,AO,1710377025
186,sarupathar,26.1984,93.8094,19.53,51,1,0.88,IN,1710377025
187,verkh-neyvinskiy,57.2701,60.1376,-5.34,91,100,4.03,RU,1710377025
188,innoshima,34.2833,133.1833,9.87,65,89,6.9,JP,1710377025
189,kolobrzeg,54.1757,15.5834,6.65,81,82,4.75,PL,1710377026
190,mar del plata,-38.0023,-57.5575,21.08,94,100,6.71,AR,1710376505
191,bam,29.106,58.357,12.46,40,0,0.78,IR,1710377026
192,crane,31.3974,-102.3501,23.63,11,45,3.88,US,1710377027
193,ambon,-3.6954,128.1814,31.04,95,40,3.6,ID,1710376981
194,salalah,17.0151,54.0924,26.05,73,0,0.51,OM,1710377028
195,callao,-12.0667,-77.15,24.16,69,40,5.14,PE,1710376793
196,meulaboh,4.1363,96.1285,26.33,84,38,1.32,ID,1710377028
197,ustyuzhna,58.8394,36.4321,-2.05,86,100,3.77,RU,1710377029
198,canutama,-6.5339,-64.3831,26.26,84,98,0.82,BR,1710377029
199,thompson,55.7435,-97.8558,-7.91,93,100,2.06,CA,1710377029
200,najran,17.4924,44.1277,19.36,42,27,1.72,SA,1710377030
201,bubaque,11.2833,-15.8333,26.09,70,4,4.22,GW,1710377030
202,fort mcmurray,56.7268,-111.381,3.77,52,0,4.12,CA,1710377030
203,boende,-0.2167,20.8667,24.08,77,96,1.24,CD,1710377030
204,hamilton,39.1834,-84.5333,18.97,52,0,3.09,US,1710376800
205,djidiouia,35.9299,0.8287,12.56,80,29,2.58,DZ,1710377031
206,kupang,-10.1667,123.5833,28.32,94,75,5.14,ID,1710377031
207,trincomalee,8.5711,81.2335,24.2,86,75,2.2,LK,1710377031
208,porto novo,6.4965,2.6036,28.9,87,100,3.76,BJ,1710377032
209,nizhneudinsk,54.9076,99.0276,-9.59,85,20,0.95,RU,1710377032
210,sitka,57.0531,-135.33,6.94,70,100,6.17,US,1710377032
211,chonchi,-42.6128,-73.8092,10.56,93,62,1.68,CL,1710377032
212,tete,-16.1564,33.5867,25.05,100,40,2.06,MZ,1710376967
213,klyuchi,52.2667,79.1667,-9.67,94,92,5.1,RU,1710377033
214,tubarjal,30.4999,38.216,15.4,38,1,5.69,SA,1710377033
215,mutoko,-17.397,32.2268,18.8,92,100,1.03,ZW,1710377033
216,qaqortoq,60.7167,-46.0333,-4.18,96,100,2.11,GL,1710377034
217,rio grande,-32.035,-52.0986,24.41,91,0,4.19,BR,1710377007
218,alice springs,-23.7,133.8833,32.75,22,10,4.12,AU,1710377034
219,awjilah,29.1081,21.2869,13.83,58,100,3.85,LY,1710377034
220,brookings,44.3114,-96.7984,14.58,34,100,1.34,US,1710377034
221,lihue,21.9789,-159.3672,24.09,82,100,2.06,US,1710377035
222,turkmenbasy,40.0222,52.9552,5.43,60,0,6.17,TM,1710377035
223,katsuura,35.1333,140.3,10.96,58,45,2.22,JP,1710377035
224,kurumkan,54.3,110.3,-4.24,78,29,3.89,RU,1710377036
